date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-09-12 12:08:24,Nigger__Queen,,0,0,0,"かもん",,,,1304753727048314884,https://twitter.com/Nigger__Queen/status/1304753727048314884
2020-09-12 12:07:17,Nigger__Queen,,0,0,1,"建て直した",,,,1304753446537408512,https://twitter.com/Nigger__Queen/status/1304753446537408512
2020-09-12 12:06:46,_itsalwaysdaryl,__GeorgiePorgie,1,0,0,"el em aye oh, im just tryna speak in her language",,,,1304753318078619654,https://twitter.com/_itsalwaysdaryl/status/1304753318078619654
2020-09-12 12:06:04,NotANothaNigger,,0,0,0,"And i got betrayed by the one that I’m supposed to help.....()......and im still supposed to help",,,,1304753140911271938,https://twitter.com/NotANothaNigger/status/1304753140911271938
2020-09-12 12:05:49,_itsalwaysdaryl,,0,0,0,"I was today years old when I found out Picasso copied African Cubism",,,,1304753079703810052,https://twitter.com/_itsalwaysdaryl/status/1304753079703810052
2020-09-12 12:05:13,YoursTrulyHam,ZackTaylorFA,0,0,1,"Ahh the times when my friend always played ""alabama nigger"" when we went to school together. Everyone was chuckling but he was blastin' to it. Good memories.",,,,1304752925214990337,https://twitter.com/YoursTrulyHam/status/1304752925214990337
2020-09-12 12:03:39,hoe_shange,Stretchfiddy7,0,0,0,"Me when I hate myself, you're from Africa nigger, deal with it: https://twitter.com/Stretchfiddy7/status/1304524011267862528 …",,,,1304752532879806465,https://twitter.com/hoe_shange/status/1304752532879806465
2020-09-12 12:03:08,BillYaStima_,,1,0,0,"I was awakened. None of this niggers here will code your website from ground up. They are picking and dropping templates with the help of NO CODE websites. Haha. Ignorance will cost you. It’s stuff you can do Begin here https://wordpress.com/start/personal/user?ref=logged-out-homepage-lp … Usichezwe",,,,1304752400746582017,https://twitter.com/BillYaStima_/status/1304752400746582017
2020-09-12 12:02:27,danniebrwn,,0,2,2,"This speaks volume to how a Mother’s 71 Day Hunger Strike against inequality on college campus is met when one of Duquesne professors is allowed to used the Nigger word in class! @washingtonpost @OgeTheYogi @nytimes @iamjamiefoxx @johnlegend @CoachTomlin @GayleKing @oprahmagazinepic.twitter.com/TZy04WP5Op",,@washingtonpost @OgeTheYogi @nytimes @iamjamiefoxx @johnlegend @CoachTomlin @GayleKing @oprahmagazinepic,,1304752228562071553,https://twitter.com/danniebrwn/status/1304752228562071553
2020-09-12 12:02:02,in_ivic,SherriPizza,0,0,0,"כן! זה ממש מפחיד ומטריד. לספר קוראים ״הכושי״/״The nigger”",,,,1304752125696761856,https://twitter.com/in_ivic/status/1304752125696761856
2020-09-12 12:01:50,aerobatism,,1,3,13,"#Moria Nigger",,,#Moria,1304752074685636610,https://twitter.com/aerobatism/status/1304752074685636610
2020-09-12 12:01:00,FreeWilli10,XXL,0,0,0,"Nah this niga smart...he ain't doing all this for no reason...plus imagine selling 50k units after not dropping for 2 years...shit that's amazing compared to all this niggers who b trolling him",,,,1304751865884741633,https://twitter.com/FreeWilli10/status/1304751865884741633
2020-09-12 11:57:51,zoe_mitchell18,DaijaTheDime,0,0,0,"Nah I mean I defly understand your perspective cuz I’m also black. But calling yourself mulatto or nigger doesn’t make it less racist it just normalizes the term so now it’s used more in conversation. That’s just the reality",,,,1304751073559818241,https://twitter.com/zoe_mitchell18/status/1304751073559818241
2020-09-12 11:57:36,_itsalwaysdaryl,manofnowonder,0,0,0,"she's a legend. She birthed everybody",,,,1304751010750050305,https://twitter.com/_itsalwaysdaryl/status/1304751010750050305
2020-09-12 11:57:32,shaaaawn69,,0,0,0,"niggers",,,,1304750991909117952,https://twitter.com/shaaaawn69/status/1304750991909117952
2020-09-12 11:57:28,We4EverOvercome,,0,0,0,"... They no longer need an unimportant nigger like me cuz they already got what they needed they're important enough to have the lead, they got what they needed after they were sure they got the elections they came to the conclusion they don't need me or what I offer anymore",,,,1304750978210639874,https://twitter.com/We4EverOvercome/status/1304750978210639874
2020-09-12 11:55:42,Creolekordei,divineangeI,0,0,0,"Yup!https://twitter.com/divineangei/status/1304555635212800000 …",,,,1304750530560917504,https://twitter.com/Creolekordei/status/1304750530560917504
2020-09-12 11:55:12,imthesinginchef,,0,0,0,"I guarantee you people from Louisiana gonna cone out of the woodworks trying to claim me once I reach higher levels of success. I’ll hit them with that “Harpo, who dis?” ... Cuz last time I checked ya’ll boycotted me & called me a nigger. No thanks. #TheSinginChef #BlackTwitter",,,#TheSinginChef #BlackTwitter,1304750407181271045,https://twitter.com/imthesinginchef/status/1304750407181271045
2020-09-12 11:55:11,CEOreoNation,,0,0,0,"I stopped taking risks and life been real stagnant lately",,,,1304750401942507520,https://twitter.com/CEOreoNation/status/1304750401942507520
2020-09-12 11:54:23,PrimoLeRat,,0,0,2,"Damn nigger",,,,1304750200960036864,https://twitter.com/PrimoLeRat/status/1304750200960036864
2020-09-12 11:54:20,GaijinSH2,,1,0,0,"Très drôle aussi, le traiter de raciste à cause de ""Rock'n'Roll Nigger"", ou encore d'homophobe quand on sait avec qui il s'envoyait en l'air dans les toilettes... Aveuglées d'inculture crasse, de haine, et cette dépendance au buzz via les RS, et exister à travers eux..",,,,1304750188951736320,https://twitter.com/GaijinSH2/status/1304750188951736320
2020-09-12 11:53:37,wow_ok_cool,ToastedOnOff,2,0,0,"You're either ignorant af or little chetniks. Šiptari is definetively a slur and it's common sense. It's used in a derogative way. Your word for us is Albanac. Black people can call themselves nigger, but when whites do it it's derogative. Don't use it.",,,,1304750007430635520,https://twitter.com/wow_ok_cool/status/1304750007430635520
2020-09-12 11:53:34,Quay_Hawk,Jay__Walking,1,0,0,"Lmaooo nah shawty in the sundress was wylin, how you callin people nigger wit no draws on cmon baby",,,,1304749994398887936,https://twitter.com/Quay_Hawk/status/1304749994398887936
2020-09-12 11:53:04,MarioSaysNigger,,0,0,0,"#RedDeadRedemption2 #XboxSharepic.twitter.com/kZ8bnx47As",,,#RedDeadRedemption2 #XboxSharepic,1304749869010223106,https://twitter.com/MarioSaysNigger/status/1304749869010223106
